,title,level,Prerequisites,Duration,Languages,Course Details,days details
26,RF System Design Using MathWorks Tools,"Level: 
Intermediate","['Signal Processing with Simulink', 'A good understanding of RF theory']","Duration: 
2 days",,"
This two-day course shows how to use RF Blockset™ and RF Toolbox™ for modeling wireless front ends. You will learn when to use two different modeling paradigms to speed up the simulation of RF signals: Equivalent Baseband and Circuit Envelope. The fundamentals of the simulation techniques will be discussed, and best modeling practices will be highlighted.



Topics include:

Importing S-parameters and modeling linear elements
Simulating thermal and phase noise
Modeling amplifiers and mixers operating in nonlinear conditions
Developing custom models
Integrating antennas and arrays in RF transceivers




","
Day 1 of 2






What is RF Blockset?



Objective: Give an overview of RF simulation using MathWorks tools; the goal of this section is to familiarize the audience with RF Blockset and its terminology. Attendees who never used RF Blockset before will be able to recognize which applications can be modeled with RF Blockset and which approach is most suitable.

Describe what can be done with RF Blockset
Describe the benefits of using RF simulation techniques
Articulate why and when RF Blockset is needed




Fundamentals of RF Simulation



Objective: Describe the fundamentals of Equivalent Baseband and Circuit Envelope simulation techniques. We will provide an overview of the underlying simulation techniques in the RF Blockset context. Attendees will build their first RF Blockset model, configure the simulation set up and run a simulation.

Understand the RF simulation techniques supported by RF Blockset
Decide when to use Equivalent Baseband or Circuit Envelope
Build an RF model starting from high-level specifications




Importing S-Parameters and Modeling Linear Elements



Objective: Describe how to model linear elements in RF Blockset and RF Toolbox. The focus of this section is how to import S-parameters in the form of Touchstone files and how to perform a time-domain simulation using frequency-defined elements. Attendees will compare results obtained from both the Circuit Envelope and Equivalent Baseband simulation techniques for a handful of passive lumped and distributed elements, and they will gain insight into what simulation technology will work best for their application.

Understand the available techniques to simulate S-parameters in the time domain
Choose the best modelling approach for S-parameters
Assess the quality of S-parameters simulation results




Day 2 of 2






Fundamentals of Noise Simulation



Objective:

Follow best practices for modeling thermal noise
Capture the effects of phase noise
Understand the impact of frequency conversion on noise
Validate the time-domain results of noise simulation




Modeling Nonlinear Operation



Objective: Introduce the simulation of nonlinear components in RF Blockset, focusing amplifiers and mixers. Attendees will learn how to describe and validate the impact of nonlinear characteristics. Attendees will learn best practices for modeling spectral regrowth, saturation, and interferers.

Modeling even and odd order nonlinearities
Modeling of AM/AM and AM/PM curves
Manipulating interferers, spurs, and multi-carrier signals
Modeling Power Amplifiers including memory effects




Building Tunable Networks and Developing Custom Models



Objective: Describe how to build custom models in RF Blockset Circuit Envelope using the Simscape language and combining it with Simulink modeling capabilities.

Build adaptive RF systems including control logic
Use Simscape language to build custom models in the domain of voltages and currents
Understand simulation results of custom models



"
27,Sensor Fusion for Object Tracking in MATLAB,"Level: 
Intermediate",['MATLAB Fundamentals; basic knowledge of tracking concepts'],"Duration: 
1 day","Languages: 
English, Français","
This one-day course provides hands-on experience with developing and testing localization and tracking algorithms. Examples and exercises demonstrate the use of appropriate MATLAB® and Sensor Fusion and Tracking Toolbox™ functionality.



Topics include:

Localization for orientation and position
Scene generation and sensor detection import
Filters and motion models
Data association
Multi-object trackers




","
Day 1 of 1






Localization for Orientation and Position



Objective: Fuse IMU and GPS sensor data to estimate position and orientation.

Model measurements from accelerometers, gyroscopes, magnetometers, and GPS
Fuse sensor data to estimate the pose in terms of position, velocity, and orientation
Visualize the pose estimation and plot platforms and trajectories




Scene Generation and Detection Import



Objective: Import and process detections or generate scenarios used in multi-object trackers.

Preprocess and package collected sensor detections
Create a tracking scenario with multiple sensors and platforms
Define waypoint or kinematic trajectories
Customize sensor parameters
Generate detections used in sensor fusion algorithms




Filters and Motion Models



Objective: Select and tune filters and motion models based on tracking requirements.

Evaluate filters against scenario requirements
Compare and contrast different motion models
Configure an Interacting Multiple Model (IMM) filter to track different maneuvers




Data Association



Objective: Determine the appropriate data association method for different tracking situations.

Select from among Global Nearest Neighbor (GNN), Joint Probabilistic Data Association (JPDA), Track-Oriented Multiple Hypothesis (TOMHT), and other data association methods
Determine how multiple detections are assigned to different tracks




Multi-Object Trackers



Objective: Create multi-object trackers to fuse information from multiple sensors such as vision, radar, and lidar.

Configure trackers and parameters
Perform track association and management
Visualize the tracked objects




Appendix A: Trackers for Passive Sensors



Objective: Create multi-object trackers and fusion systems that receive angle-only or range-only measurements from passive sensor systems.

Triangulate multiple line-of-sight detections
Perform static fusion of passive synchronous sensor detections
Track with range-only measurements
Track with angle-only measurements



"
28,Signal Preprocessing and Feature Extraction for Data Analytics with MATLAB,"Level: 
Intermediate",['MATLAB Fundamentals'],"Duration: 
1 day","Languages: 
Deutsch, English, 日本語, 한국어, 中文","
This one-day course shows how to use MATLAB®, Signal Processing Toolbox™, and Wavelet Toolbox™ to preprocess time-based signals and extract key features in the time and frequency domains. This course is intended for data scientists and engineers analyzing signals (time series) for data analytics applications. No prior knowledge on signal processing is needed for this course.  Topics include:

Creating, importing, and visualizing signals
Preprocessing to improve data quality, including filling data gaps, resampling, smoothing, aligning signals, finding and removing outliers, and handling non-uniformly sampled signals
Extracting features in the time and frequency domains, including finding patterns in signals, finding change points, locating peaks, and identifying trends




","
Day 1 of 1






Explore and Analyze Signals (Time Series) in MATLAB



Objective: Learn to easily import and visualize multiple signals or time series data sets to gain insights into the features and trends in the data.

Import, visualize, and browse signals to gain insights
Make measurements on signals
Compare multiple signals in the time and frequency domain
Perform interactive spectral analysis
Extract regions of interest for focused analysis
Recreate analysis with auto-generated MATLAB scripts




Preprocess Signals to Improve Data Set Quality



Objective: Learn techniques to clean signal sets with operations such as resampling, removing outliers, and filling gaps.

Perform resampling to ensure a common time base across signals
Work with non-uniformly sampled data
Find gaps in data and remove or fill gaps
Remove noise and unwanted frequency content
Perform wavelet denoising
Use the envelope spectrum to perform fault analysis
Locate outlier values in data and replace them with acceptable data
Locate signal changepoints and use boundaries to automatically create signal segments




Extract Features from Signals



Objective: Apply different techniques in time and frequency domains to extract features. Become familiar with the spectral analysis tools in MATLAB and explore ways to bring out features for multiple signals.

Locate peaks
Locate desired signals from patterns in the time and spectral domains
Use spectral analysis to extract features from signals
Perform classification using supervised learning
Use the Classification Learner app to interactively train and evaluate classification algorithms



"
29,Signal Processing with MATLAB,"Level: 
Intermediate","['MATLAB Fundamentals or equivalent experience using MATLAB, and a good understanding of signal processing theory, including linear systems, spectral analysis, and filter design']","Duration: 
2 days","Languages: 
English, 한국어, 中文","
This two-day course shows how to analyze signals and design signal processing systems using MATLAB®, Signal Processing Toolbox™, and DSP System Toolbox™.
Topics include:

Creating and analyzing signals
Performing spectral analysis
Designing and analyzing filters
Designing multirate filters
Designing adaptive filters




","
Day 1 of 2






Signals in MATLAB



Objective: Generate sampled and synthesized signals from the command line and visualize them. Create noise signals for a given specification. Perform signal processing operations like resampling, modulation, and correlation.

Creating discrete signals
Sampling and resampling
Visualizing signals
Modeling noise
Performing resampling, modulation, and correlation
Generating streaming signals




Spectral Analysis



Objective: Understand different spectral analysis techniques and the use of windowing and zero padding. Become familiar with the spectral analysis tools in MATLAB and explore nonparametric (direct) and parametric (model-based) techniques of spectral analysis.

Discrete Fourier transform
Windowing and zero padding
Power spectral density estimation
Time-varying spectra
Using a spectrum analyzer in MATLAB




Linear Time Invariant Systems



Objective: Represent linear time-invariant (LTI) systems in MATLAB and compute and visualize different characterizations of LTI systems.

LTI system representations
z-transform
Frequency and impulse response
Visualizing filter properties
Applying filters to finite and streaming signals




Day 2 of 2






Filter Design



Objective: Design filters interactively using the Filter Design and Analysis app. Design filters from the command line using filter specification objects.

Filter specifications
Interactive filter design
Common filter design functions
Filter design with filter specification objects
Reducing filter delay
Frequency-domain filtering




The Signal Analysis App



Objective: Learn to use a powerful all-in-one app for importing and visualizing multiple signals, performing spectral analysis on them, and designing and applying filters to the signals. Make simple statistical and cursor measurements on signals.

Browse signals and make simple measurements
Perform interactive spectral analysis
Design and apply filters to signals interactively




Multirate Filters



Objective: Understand principles of polyphase multirate filter design. Design multirate interpolating and decimating filters. Design multistage and narrow-band filters.

Downsampling and upsampling
Noble identities and polyphase FIR structures
Polyphase decimators and interpolators
Design multistage and interpolated FIR filters




Adaptive Filter Design



Objective: Design adaptive filters for system identification and noise cancellation.

Basics of adaptive filtering
Perform system identification
Perform noise cancellation
Improve adaptive filter efficiency



"
30,Signal Processing with Simulink,"Level: 
Intermediate",['MATLAB Fundamentals and basic knowledge of digital signal processing'],"Duration: 
3 days","Languages: 
Deutsch, English, 한국어","
This three-day course, targeted toward new users of Simulink®, uses basic modeling techniques and tools to demonstrate how to develop Simulink block diagrams for signal processing applications. 
Topics include:

What is Simulink?
Using the Simulink interface
Modeling single-channel and multi-channel discrete dynamic systems
Implementing sample-based and frame-based processing
Modeling mixed-signal (hybrid) systems
Developing custom blocks and libraries
Modeling condition-based systems
Performing spectral analysis with Simulink
Integrating filter designs into Simulink
Modeling multirate systems
Incorporating external code
Automating modeling tasks




","
Day 1 of 3






What is Simulink?



Objective: Get an introduction to Simulink.

What is Simulink?
Benefits of using Simulink
Simulink add-ons
A look at a Simulink model




Creating and Simulating a Model



Objective: Explore the Simulink interface and block libraries. Build a simple model and analyze the simulation results.

Creating and editing a Simulink model
Defining system inputs and outputs
Simulating the model and analyzing results




Modeling Discrete Dynamic Systems



Objective: Model discrete dynamic systems, and visualize frame-based signals and multichannel signals using a scope.

Modeling a discrete system with basic blocks
Finding sample times of block outputs
Using frames in your model
Using buffers
Frames vs. multichannel signals
Viewing frame-based signals
Behavior of delay blocks with frame-based signals
Multichannel frame-based signals




Modeling Logical Constructs



Objective: Model logical expressions. See how zero-crossing detection is used in Simulink and model simple logic in Simulink using MATLAB code.

Modeling logical expressions
Modeling conditional signal routing
Understanding zero-crossing detection
Modeling with the MATLAB Function block




From Algorithm to Model



Objective: Create a model from an algorithm specification.

Modeling from algorithmic specifications
Iterative algorithm development through modeling and simulation
Verifying models against specified algorithms




Day 2 of 3






Mixed-Signal Models



Objective: Model mixed-signal systems.

What is a mixed-signal model?
Modeling an ADC with aperture jitter and nonlinearity
Case study: Modeling TI's ADS62P29 ADC




Simulink Solvers



Objective: Choose the right solver for a Simulink model.

Understanding the Simulink solver
Solving simple models
Solving models with discrete and continuous states
Solving models with multiple rates
Fixed-step and variable-step solvers
Choosing a continuous-state system solver
Handling zero crossings
Handling algebraic loops




Subsystems and Libraries



Objective: Create custom blocks in Simulink, apply masks, and develop custom libraries.

Creating subsystems
Understanding virtual and atomic subsystems
Using a subsystem as a model component
Masking subsystems
Creating custom block libraries
Working with and modifying library blocks
Adding custom libraries to the Simulink Library Browser
Creating configurable subsystems




Conditional Subsystems



Objective: Model systems with parts that are executed conditionally.

Conditionally executed subsystems
Modeling condition-driven systems with enabled subsystems
Modeling condition-driven systems with triggered subsystems
Working with an example using the AGC model




Spectral Analysis



Objective: Perform spectral analysis in the Simulink environment, and use spectrum computation in an algorithm.

Performing spectral analysis with the Spectrum Scope block
Choosing spectral analysis parameters
Analyzing power spectrum of a motor noise
Building a spectral classifier of speech
Determining the frequency response of a discrete system




Day 3 of 3






Designing and Applying Filters



Objective: Incorporate filters in a model, and explore different ways filters can be designed and implemented in a Simulink model.

Designing filters in Simulink
Converting filters to fixed point




Multirate Systems



Objective: Model multirate systems. Resample data and explore multirate filter blocks.

Modeling multirate systems
Exploring blocks for multirate signal processing
Resampling oversampled data
Designing and implementing anti-imaging and anti-aliasing filters
Using multirate filter blocks
Case study: Converting professional audio to CD format
Converting the design to fixed point




Incorporating External Code



Objective: Import or incorporate custom or external MATLAB and C code into a Simulink model.

Working with custom and external code considerations
Incorporating MATLAB code and C code with the MATLAB Function block




Combining Models into Diagrams



Objective: Explore model integration, an important topic for large-scale projects in which several developers are developing different portions of a large system.

Exploring model referencing and subsystems
Setting up a model reference
Setting up model reference arguments
Exploring model reference simulation modes
Viewing signals in referenced models
Browsing the model reference dependency graph




Automating Modeling Tasks



Objective: Control and run Simulink models from the MATLAB command line.

Automating test runs
Checking and modifying parameter settings
Finding blocks with specific parameter values
Constructing and modifying block diagrams



"
31,Simulation-Based Testing with Simulink,"Level: 
Intermediate","['MATLAB Fundamentals', 'Simulink Fundamentals']","Duration: 
1 day","Languages: 
Deutsch, English, Italiano, 日本語, 한국어, 中文","
This one-day course describes techniques for testing Simulink® model behavior against system requirements using Simulink Test™, Requirements Toolbox™, and Simulink Coverage™.
Topics include:

Identifying the role of verification and validation in Model-Based Design
Creating test cases for Simulink models
Analyzing simulation results to verify model behavior
Automating testing activities and managing results
Automatically generating artifacts to communicate results




","
Day 1 of 1






Verification and Validation in Model-Based Design



Objective: Introduce verification and validation in the Simulink environment and discuss how it fits in to a typical project workflow using Model-Based Design.

Continuous test and verification
Types of verification
Electronic throttle control project




Developing Test Cases



Objective: Create time-based and logic-based test cases for a Simulink model.

Defining test cases
Generating test harnesses
Creating and importing test inputs
Incorporating logic in tests




Analyzing Test Results



Objective: Analyze test results of a Simulink simulation, both during and after the simulation.

Performing requirements-based assessments
Logging, inspecting, and comparing test results
Collecting model coverage




Building Test Suites



Objective: Create repeatable groups of tests and automatically generate reports from the test results.

Creating test files
Configuring simulation, baseline, and equivalence tests
Viewing and documenting test results



"
32,Simulink Model Management and Architecture,"Level: 
Intermediate","['MATLAB Fundamentals', 'Simulink Fundamentals']","Duration: 
2 days","Languages: 
Deutsch, English, Español, Français, Italiano, 日本語, 한국어, 中文","
This two-day course describes techniques for applying Model-Based Design in a common design workflow. It provides guidance on managing and sharing Simulink® models when working in a large-scale project environment.
Topics include:

Implementing interface control of Simulink subsystems and models
Managing requirements in Simulink models
Partitioning models using Simulink subsystems, libraries, and model references
Managing a model and all its dependencies
Addressing model scalability and performance concerns
Establishing and enforcing modeling standards
Documenting and sharing a Simulink model




","
Day 1 of 2






Model-Based Design
Objective: Get a brief overview of how Simulink models can be used in a traditional design process. Discuss where the material covered in this course fits into that process.
Requirements Linking and Interface Control
Objective: Link a Simulink model to system requirements, illustrate data flow, and define system interfaces.

Component stubs
Requirements linking
Component interfaces
Bus objects

Model Architecture
Objective: Discuss the pros and cons of the different features used for organizing a Simulink model into separate components.

System component considerations
Virtual subsystems
Atomic subsystems
Subsystem references
Model references
Libraries
Component variants

Project Management
Objective: Discuss how to effectively organize a project (containing models, data, documentation, etc.) and perform configuration management tasks.

Project setup
File shortcuts and labels
File dependencies and impact
Source control integration
File differences




Day 2 of 2






Data Management
Objective: Explore the data dependencies of a Simulink model and learn best practices for managing a Simulink model's data.

Workspace precedence
Parameter management
Saving and loading data
Data dictionaries

Model Scalability
Objective: Understand data objects, partition data in dictionaries, create reference projects and configurations sets to organize large projects.

Data objects
Reference data dictionaries
Reference configuration sets
Data partitioning
Reference projects

Model Performance
Objective: Learn how to improve simulation performance, use acceleration modes and understand their tradeoffs.

Simulink Profiler
Simulation modes
Comparing performance
Performance Advisor

Modeling Standards
Objective: Explore how to set up and enforce modeling standards, check for common modeling errors, and optimize model performance.

Modeling standards
Model Advisor
Reporting results
Additional Simulink advisors
Templates

Reporting
Objective: Discuss the methods of automatically creating reports and documentation from Simulink models.

Web views
Standard reports
Custom reports



"
33,Stateflow for Automotive Applications,"Level: 
Intermediate","['MATLAB Fundamentals for Automotive Applications', 'Simulink Fundamentals for Automotive Applications']","Duration: 
2 days","Languages: 
English, 日本語","
This version of Stateflow for Logic-Driven System Modeling is for automotive engineers looking to model and simulate event-driven and logic systems. This two-day course offers hands-on automotive examples and exercises that apply basic techniques to realistic problems in the automotive industry.
Topics include:

Flow charts
State machines
Hierarchical state machines
Parallel state machines
Events in state machines
Functions in state machines
Truth tables
State transition tables
Component-based modeling




","
Day 1 of 2






Modeling Flow Charts
Objective: Implement decision flows with flow charts.

Junctions and transitions
Flow chart behavior
Stateflow interface
Conditions and condition actions
Chart data
Common patterns

Modeling State Machines
Objective: Implement state machines with state transition diagrams.

State machine behavior
State and transition actions
Chart initialization
Action execution order
Flow charts within states
Mealy and Moore charts

Hierarchical State Diagrams
Objective: Implement hierarchical diagrams to improve the clarity of state machine designs.

Superstates and substates
State data
History junction
Transition priority
Action execution order

Parallel State Diagrams
Objective: Implement parallel states to model multiprocessing designs.

Benefits of parallel states
Chart/state decomposition
Parallel state behavior




Day 2 of 2






Using Events in State Diagrams
Objective: Use events within a Stateflow diagram to affect chart execution.

Using events in state diagrams
Broadcasting events
Behavior of state diagrams that contain events
Implicit events
Temporal logic operators

Calling Functions from Stateflow
Objective: Create functions in a Stateflow chart out of Simulink blocks, MATLAB code, and flow charts.

Types of functions
Simulink functions
MATLAB functions
Graphical functions

Truth Tables and State Transition Tables
Objective: Create flow charts and state transition diagrams in tabular form.

Truth tables
Conditions, decisions, and actions
State transition tables
States, transitions, and actions

Component-Based Modeling in Stateflow
Objective: Reuse Stateflow designs, constrain chart semantics, and interact with structured Simulink data.

Bus signals
Data types
Atomic subcharts
Data mapping
Chart reuse



"
34,Stateflow for Logic Driven System Modeling,"Level: 
Intermediate","['MATLAB Fundamentals', 'Simulink Fundamentals']","Duration: 
2 days","Languages: 
English, Italiano, 한국어, 中文","
This two-day course shows how to implement complex decision flows and finite-state machines using Stateflow®. The course focuses on how to employ flow charts, state machines, truth tables, and state transition tables in Simulink® designs.
Topics include:

Flow charts
State machines
Hierarchical state machines
Parallel state machines
Events in state machines
Functions in state machines
Truth tables
State transition tables
Component-based modeling




","
Day 1 of 2






Modeling Flow Charts
Objective: Implement decision flows with flow charts.

Junctions and transitions
Flow chart behavior
Stateflow interface
Conditions and condition actions
Chart data
Common patterns

Modeling State Machines
Objective: Implement state machines with state transition diagrams.

State machine behavior
State and transition actions
Chart initialization
Action execution order
Flow charts within states
Mealy and Moore charts

Hierarchical State Diagrams
Objective: Implement hierarchical diagrams to improve the clarity of state machine designs.

Superstates and substates
State data
History junction
Transition priority
Action execution order

Parallel State Diagrams
Objective: Implement parallel states to model multiprocessing designs.

Benefits of parallel states
Chart/state decomposition
Parallel state behavior




Day 2 of 2






Using Events in State Diagrams
Objective: Use events within a Stateflow diagram to affect chart execution.

Using events in state diagrams
Broadcasting events
Behavior of state diagrams that contain events
Implicit events
Temporal logic operators

Calling Functions from Stateflow
Objective: Create functions in a Stateflow chart out of Simulink blocks, MATLAB code, and flow charts.

Types of functions
Simulink functions
MATLAB functions
Graphical functions

Truth Tables and State Transition Tables
Objective: Create flow charts and state transition diagrams in tabular form.

Truth tables
Conditions, decisions, and actions
State transition tables
States, transitions, and actions

Component-Based Modeling in Stateflow
Objective: Reuse Stateflow designs, constrain chart semantics, and interact with structured Simulink data.

Bus signals
Data types
Atomic subcharts
Data mapping
Chart reuse



"
35,Statistical Methods in MATLAB,"Level: 
Intermediate",['MATLAB Fundamentals and knowledge of basic Statistics and Machine Learning Toolbox'],"Duration: 
2 days","Languages: 
Deutsch, English, Français, 日本語","
This two-day course provides hands-on experience for performing statistical data analysis with MATLAB® and Statistics and Machine Learning Toolbox™. Examples and exercises demonstrate the use of appropriate MATLAB and Statistics and Machine Learning Toolbox functionality throughout the analysis process; from importing and organizing data, to exploratory analysis, to confirmatory analysis and simulation.
Topics include:

Managing data
Calculating summary statistics
Visualizing data
Fitting distributions
Performing tests of significance
Performing analysis of variance
Fitting regression models
Reducing data sets
Generating random numbers and performing simulations







This program has been approved by GARP and qualifies for 14 GARP CPD credit hours. If you are a Certified FRM or ERP, please record this activity in your credit tracker at https://www.garp.org/cpd.







","
Day 1 of 2






Importing and Organizing Data
Objective: Bring data into MATLAB and organize it for analysis. Perform common tasks, such as merging data and dealing with missing data.

Importing data
Data types
Tables of data
Merging data
Categorical data
Missing data

Exploring Data
Objective: Perform basic statistical investigation of a data set, including visualization and calculation of summary statistics.

Plotting
Central tendency
Spread
Shape
Correlations
Grouped data

Distributions
Objective: Investigate different probability distributions and fit distributions to a data set.

Probability distributions
Distribution parameters
Comparing and fitting distributions
Nonparametric fitting

Hypothesis Tests
Objective: Determine how likely an assertion about a data set is. Apply hypothesis tests for common uses, such as comparing two distributions and determining confidence intervals for a sample mean.

Hypothesis tests
Tests for normal distributions
Tests for nonnormal distributions




Day 2 of 2






Analysis of Variance
Objective: Compare the sample means of multiple groups and find statistically significant differences between groups.

Multiple comparisons
One-way ANOVA
N-way ANOVA
MANOVA
Nonnormal ANOVA
Categorical correlations

Regression
Objective: Perform predictive modeling by fitting linear and nonlinear models to a data set. Explore techniques for improving model quality.

Linear regression models
Fitting linear models to data
Evaluating the fit
Adjusting the model
Logistic and generalized linear regression
Nonlinear regression

Working with Multiple Dimensions
Objective: Simplify high-dimensional data sets by reducing the dimensionality.

Feature transformation
Feature selection

Random Numbers and Simulation
Objective: Use random numbers to evaluate the uncertainty or sensitivity of a model, or perform simulations. Generate random numbers from various distributions, and manage the MATLAB random number generation algorithms.

Bootstrapping and simulation
Generating numbers from standard distributions
Generating numbers from arbitrary distributions
Controlling the random number stream



"
36,Time-Series Modeling in MATLAB,"Level: 
Intermediate",['MATLAB for Financial Applications and knowledge of time-series modeling concepts'],"Duration: 
1 day",,"
This one-day course provides a comprehensive introduction to time-series modeling using MATLAB® and Econometrics Toolbox™. The course is intended for economists, analysts and other financial professionals with prior experience of MATLAB who require to develop and maintain time-series models. The course is designed to follow the standard Box-Jenkins procedure for developing time-series models.
High-level course themes include:

Preprocessing time-series data
Identifying long-term and seasonal trends in time-series data
Testing data stationarity using hypothesis tests
Creating and fitting ARIMA and GARCH time-series models to a data set
Comparing different model fits for the same data
Analyzing model dynamics using Monte Carlo simulations
Forecasting data using fitted models







This program has been approved by GARP and qualifies for 7 GARP CPD credit hours. If you are a Certified FRM or ERP, please record this activity in your credit tracker at https://www.garp.org/cpd.







","
Day 1 of 1






Preparing Data for Model Fitting
Objective: Prepare time-series data for model fitting by identifying trends and applying data transformations.

Removing exponential trends
Identifying polynomial and seasonal trends
Testing for data stationarity
Stationarizing data
Unit-root tests

Model Selection and Fitting
Objective: Use diagnostic tools to select a group of suitable candidate ARIMA and GARCH models for a given time series. Identify, create and fit candidate time-series models to data.

Computing autocorrelation and partial autocorrelation
Selecting models using formal tests
Selecting candidate ARIMA and GARCH models for a given data set
Creating and fitting time series models to a data set

Evaluating Model Appropriateness
Objective: Compute and evaluate model diagnostics to ensure model correctness, suitability and reliability.

Inferring model residuals
Testing residuals for Normality
Analyzing model diagnostics and goodness-of-fit statistics
Evaluating significance of individual model terms
Comparing models

Forecasting and Simulation
Objective: Forecast models to predict future data. Simulate sample trajectories and statistics by applying Monte Carlo simulation techniques.

Forecasting data using fitted models
Using in-sample forecasts to evaluate model appropriateness
Monte Carlo model simulation
Backtesting models



"
37,Wavelet Analysis with MATLAB,"Level: 
Intermediate",['MATLAB Fundamentals; signal processing background is highly recommended'],"Duration: 
1 day",,"
This one-day course shows how to use Wavelet Toolbox™ to perform wavelet analysis on signals. After motivating time-frequency analysis of time-varying signals using wavelets, both continuous and discrete wavelet-based techniques are covered. A background in signal processing is highly recommended for this course.



Topics include:

Performing time-frequency analysis using continuous wavelet transform
Building and using time-localized filters
Implementing multiresolution analysis using discrete wavelet transform
Denoising signals using wavelets




","
Day 1 of 1






Continuous Wavelet Analysis



Objective: Learn the motivation for using wavelets to analyze signals and the fundamentals of wavelet analysis.

Interactive and programmatic time-frequency analysis using continuous wavelet transform
Time-localized filtering
Time-frequency resolution using wavelet synchrosqueezing and ridge extraction
Wavelet coherence to find coherent time-varying oscillations in two signals




Discrete Wavelet Analysis



Objective: Learn how multiresolution analysis can be used to detect patterns in signals and reconstruct signals that retain only desired features.

Multiresolution analysis
Decimated and nondecimated discrete wavelet transforms
Wavelet denoising
Wavelet packet transform



"
38,Wireless Communications Systems Design with MATLAB and USRP Software-Defined Radios,"Level: 
Intermediate",['MATLAB Fundamentals and knowledge of digital communications systems'],"Duration: 
2 days","Languages: 
English","
This two-day course shows how to design and simulate single- and multi-carrier digital communications systems using MATLAB®. Multi-antenna and turbo-coded communication systems are introduced, and different channel impairments and their modeling are demonstrated. Components from LTE and IEEE 802.11 systems will be used as examples. The instructor will demonstrate a radio-in-the-loop system using real-time hardware (RTL-SDR and USRP®).
The target audience for this course includes system engineers and RF engineers who need a fast ramp-up on modern communication techniques and the radio-in-the-loop workflow.



","
Day 1 of 2






Communication over a Noiseless Channel
Objective: Modeling an ideal single-carrier communications system and becoming familiar with System objects.

Sampling theorem and aliasing
Using complex baseband versus real passband simulation
Creating a random bit stream
Discovering System objects and their benefits
Modulating a bit stream using QPSK
Applying pulse-shaping to the transmitted signal
Using eye diagrams and spectral analysis
Modeling a QPSK receiver for a noiseless channel
Computing bit error rate

Noisy Channels, Channel Coding, and Error Rates
Objective: Modeling an AWGN channel. Using convolutional, LDPC, and turbo codes to reduce bit error rate. Error correcting codes from DVB-S.2 and LTE systems are used as examples. Accelerating simulations using multiple cores.

Modeling an AWGN channel
Using channel coding and decoding: convolutional, LDPC, and turbo codes
Decoding using Trellis diagram and Viterbi algorithm
Using Parallel Computing Toolbox to accelerate Monte Carlo simulations
Discussion of alternative acceleration methods: GPUs, MATLAB Distributed Computing Server™, Cloud Center

Timing and Frequency Errors and Multipath Channels
Objective: Modeling frequency offset, timing jitter errors, and mitigation using frequency and timing synchronization techniques. Modeling flat fading, multipath channels, and mitigation using equalizers.

Modeling phase and timing offsets
Mitigating frequency offset using a PLL
Mitigating timing jitter using Gardner timing synchronization
Modeling flat fading channels
Using training sequences for channel estimation
Modeling frequency selective fading channels
Using Viterbi equalizers for time-invariant channels and LMS linear equalizers for time-varying channels
Demonstration of a real-time demodulation of single-carrier broadcast using RTL-SDR




Day 2 of 2






Multicarrier Communications Systems for Multipath Channels
Objective: Understanding motivation for multicarrier communications systems for frequency selective channels. Modeling an OFDM transceiver with a cyclic prefix and windowing. System parameter values from IEEE 802.11ac and LTE will be used.

Motivation for multicarrier communications
Introduction to Orthogonal Frequency Division Multiplexing (OFDM)
OFDM symbol generation using the IFFT
Inter-block interference prevention using a cyclic prefix
Reduction of out-of-band emissions using windowing
Advantages and disadvantages of OFDM
Timing and frequency recovery methods for OFDM
Channel estimation using pilot symbols
Frequency domain equalization

Using Multiple Antennas for Robustness and Capacity Gains
Objective: Understanding alternative multiple antenna communications system. Modeling beamforming, diversity, and spatial multiplexing systems. Constructing a MIMO-OFDM system for wideband communications. MIMO modes of IEEE 802.11ac and LTE will be discussed.

Advantages and types of multi-antenna systems
Transmit and receive beamforming
Receive diversity techniques
Transmit diversity using orthogonal space-time block codes
Narrowband multiple input-multiple output (MIMO) channel model
MIMO channel estimation
Spatial multiplexing using ZF and MMSE equalization
Wideband communications using an MIMO-OFDM system

Building a Radio-in-the-Loop System
Objective: Understanding the radio-in-the-loop development workflow. Using RTL-SDRs and USRPs as radio-in-the-loop development platforms.

Overview of the radio-in-the-loop workflow
MathWorks communications hardware support (RTL-SDR, USRP, Zynq®-Based Radio)
Hardware alternative comparison (pros/cons table)
Different RIL transmit and receive modes (single burst, looped, streamed)
Creation of an end-to-end single-antenna multicarrier communications system using a USRP
Demonstration of a 2x2 OFDM-MIMO over-the-air system using USRPs



"
