,title,about,lessons,lessons_text,hours,hours_text,price,price_text,Lesson structure,Who is this course for,About the author,What to do after the course
26,Semrush Site Audit Course,"This free course will teach you how to use Semrush Site Audit to its fullest, detecting and fixing your website's technical issues effortlessly. After completing the course, you will have sufficient knowledge to take and pass the Semrush Site Audit exam.",9 lessons,"Exclusive video lessons from SEO professional, Ross Tavendale",1 hour,Get an in-depth understanding of the Semrush Site Audit tool in just an hour,100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","If you’re a complete beginner or an expert in technical SEO, you’ll benefit from this course either way — Ross will teach you what Site Audit is all about, as well going into great detail showing specific hidden features.","Ross is the Managing Director at 'Type A Media', an independent search agency that work with FTSE250 companies and mid-sized brands to help them find the optimal way to talk to more people online. When not obsessing over his clients rankings, he hosts the 'Canonical Chronicle', a weekly web show watched by 100k people every month. If you want to ask him a direct question you can find him @rtavs on Twitter.","['Get certified by Semrush', 'Try to pass the Semrush Site Audit Tool exam and earn your personalized certificate.', ""If you already have sufficient knowledge of the tool, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, proof of your mastery in Site Audit."", 'Learn more']"
27,Technical SEO course with Bastian Grimm,Understand the basics and delve further into the specifics of technical SEO with this free in-depth course from renowned SEO expert Bastian Grimm.,34 lessons,34 video lessons created in cooperation with renowned industry expert Bastian Grimm,5 hours,Get a comprehensive and detailed overview of technical SEO in just 5 hours,100% free,"The course is 100% free, saving your money for the real SEO endeavors","{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","Whether you’ve just started doing SEO and need to familiarize yourself with technical SEO or you want to gain greater expertise in a specific technical SEO topic, this course is definitely for you. If you work as a consultant or agency side handling technical SEO topics, you should join the course to gain an understanding of technical concepts and learn how to avoid any potential issues.","Bastian Grimm is Director Organic Search at Peak Ace and a renowned expert in large-scale international SEO. Having a background in software development and more than 15 years of experience in online marketing, Bastian still hugely enjoys all aspects of technical SEO. Peak Ace is an award-winning, Berlin-based full service performance marketing agency with a strong focus on “all things search”, serving clients in more than 20 different languages.","['Get certified by Semrush', ""After completing the course, you'll have all the necessary knowledge to take and pass the Technical SEO Exam."", ""If you already have reasonable knowledge of technical SEO, you can bypass the educational part and put your skills to the test right away by taking the exam. Upon passing it, you'll earn a certificate issued by Semrush confirming your technical SEO mastery."", 'Learn more']"
28,Semrush Content Marketing Toolkit Course,Get expert tips and advice on using our toolkit to really maximise your content marketing efforts.,9 lessons,Exclusive video lessons with passionate digital marketer Ashley Ward,3 hours,Become a confident user of the Semrush Content Marketing toolkit in just 3 hours,100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","If you consider content marketing an indispensable part of your marketing strategy, and want to learn how Semrush can help you out with it, take this course. Watch video tutorials and get tips from content marketing pros in a series of free video lessons.","This course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge on Semrush Content Marketing tools, we designed it together with the creators of the Content Marketing Toolkit, who know Semrush tools better than anyone in the world!","['Get certified by Semrush', 'Try to pass the Semrush Content Marketing Toolkit Exam and earn your personalized certificate.', ""If you already have sufficient knowledge of the Semrush Content Marketing Toolkit, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, proof of your Semrush Content Marketing Toolkit mastery."", 'Learn more']"
29,Mobile SEO Course with Greg Gifford,"For 17 years, Greg has been doing SEO for businesses in different verticals to boost their visibility in search results. In this free short specialized course, he’ll walk you through every little tip you need to know to make your mobile website hit it out of the park.",7 lessons,Exclusive video lessons with recognized industry expert Greg Gifford,1 hour,Learn how to succeed with Google's mobile first algorithm in just 1 hour,100% free,The course is 100% free. Save your money and spend it on your own SEO efforts,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study handpicked materials to dive deeper', 'Quiz': 'Test what you’ve learned'}","Whether you're a business owner who wants to find out how to improve their performance in mobile search, an experienced professional who's been doing SEO for years, or someone who's completely new to SEO, this course will give you all the knowledge of mobile SEO you need.","Greg Gifford is an experienced SEO consultant specializing in Local SEO. He is the Vice President of Search at SearchLab, a local SEO and PPC agency located in Chicago, IL. With over 17 years of experience, Greg has been an honored guest and speaker at top SEO conferences around the globe. He graduated from Southern Methodist University with a BA in Cinema and Communications, and has an obscure movie quote for just about any situation.","['Get certified by Semrush', ""After completing the course, you'll have all the necessary knowledge to take and pass the Mobile SEO exam."", ""If you already feel prepared, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, which is proof of your proficiency in mobile SEO."", 'Learn more']"
30,Local SEO Course with Greg Gifford,"For 17 years, Greg has been doing SEO for businesses in different verticals to boost their visibility in search results. In this free short course, he’ll teach you his specialty — Local SEO — to help bring your business to the top of the map pack and local search results.",10 lessons,Exclusive video lessons with Local SEO expert Greg Gifford,1 hour,Learn how to do Local SEO and get the most out of local search in just 1 hour,100% free,The course is 100% free. Save your money and spend it on your own Local SEO efforts.,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study handpicked materials to dive deeper', 'Quiz': 'Test what you’ve learned'}","Whether you own a business with a physical storefront or serve customers in a particular geographic area, and need to gain more local visibility online, take this course to learn how to optimize your website to show up in local searches.","Greg Gifford is the Vice President of Search for SearchLab Digital and he specializes in local SEO. With over 17 years’ experience, Greg has been an honored guest and speaker at top SEO conferences around the globe. He graduated from Southern Methodist University with a BA in Cinema and Communications, and has an obscure movie quote for just about any situation.","['Get certified by Semrush', ""After completing the course, you'll have all the necessary knowledge to take and pass the Local SEO exam."", ""If you already feel prepared, you can bypass the lessons and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, which is proof of your proficiency in Local SEO."", 'Learn more']"
31,Backlink Management Course with Greg Gifford,"For 16 years, Greg has been doing SEO for businesses in different verticals to boost their visibility in search results. In this free short specialized course, you’ll learn all about backlink management and link building.",7 lessons,Exclusive video lessons with recognized industry expert Greg Gifford,1 hour,Learn how to manage and build links in just 1 hour,100% free,The course is 100% free. Save your money and use it on your own SEO efforts.,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study handpicked materials to dive deeper', 'Quiz': 'Test what you’ve learned'}","It’s for anyone who builds links -- whether you’re an advanced marketer who’s been building links for years, or you’re brand new to the game and you want to learn more about managing links. Upon course completion, you’ll be able to actually conduct your own day-to-day link building campaign.","Greg Gifford is an experienced SEO consultant specializing in Local SEO. He is the Vice President of Search at SearchLab, a local SEO and PPC agency located in Chicago, IL. With over 17 years of experience, Greg has been an honored guest and speaker at top SEO conferences around the globe. He graduated from Southern Methodist University with a BA in Cinema and Communications, and has an obscure movie quote for just about any situation.","['Get certified by Semrush', ""After completing the course, you'll have all the necessary knowledge to take and pass the Backlink Management exam."", ""If you already feel prepared, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, which is proof of your knowledge of link management concepts."", 'Learn more']"
32,SEO Fundamentals Course with Greg Gifford,Brush up on the basics of SEO with this free and in-depth course from Semrush favourite Greg Gifford.,31 lessons,Exclusive video lessons with recognized industry expert Greg Gifford.,4 hours,Learn all the SEO essentials in just 4 hours.,100% free,The course is 100% free. You'll save money for the real SEO efforts.,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","Whether you want to learn the basics of SEO or just want to brush up on certain topics - this free course is perfect for anyone. Upon course completion, you'll have a better understanding of how to do SEO and to drive more traffic and customers to your website.","Greg Gifford is an experienced SEO consultant specializing in Local SEO. He is the Vice President of Search at SearchLab, a local SEO and PPC agency located in Chicago, IL. With over 17 years of experience, Greg has been an honored guest and speaker at top SEO conferences around the globe. He graduated from Southern Methodist University with a BA in Cinema and Communications, and has an obscure movie quote for just about any situation.","['Get certified by Semrush', ""After completing the course, you'll have all the necessary knowledge to take and pass the SEO Fundamentals Exam."", ""If you're already a decent SEO specialist, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, which is a proof of your SEO mastery."", 'Learn more']"
33,Keyword Research Course with Greg Gifford,Pump up your knowledge on the basics of keyword research with this free and in-depth course from Semrush favourite Greg Gifford.,8 lessons,Exclusive video lessons with recognized industry expert Greg Gifford,1 hour,Learn how to conduct keyword research in just 1 hour,100% free,The course is 100% free. Save your money and use it on your own SEO efforts,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","Whether you’re just learning how to do keyword research or you’re just brushing up on certain aspects, this course will help. Upon course completion, you’ll be able to conduct solid keyword research on your own.","Greg Gifford is an experienced SEO consultant specializing in Local SEO. He is the Vice President of Search at SearchLab, a local SEO and PPC agency located in Chicago, IL. With over 17 years of experience, Greg has been an honored guest and speaker at top SEO conferences around the globe. He graduated from Southern Methodist University with a BA in Cinema and Communications, and has an obscure movie quote for just about any situation.","['Get certified by Semrush', ""After completing the course, you'll have all the necessary knowledge to take and pass the Keyword Research exam."", ""If you already feel prepared, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, which is proof of your knowledge of keyword research concepts."", 'Learn more']"
34,"Mobile, International, and Local SEO Course","This course will teach you how to improve your website's visibility locally, globally, and on mobile searches — all of this with Semrush tools. After completing the course, you will have sufficient knowledge to take and pass the accompanying test and carry on studying the Semrush SEO toolkit.",8 lessons,Exclusive video lessons with passionate digital marketer Ashley Ward,1 hour,"Learn how to do mobile, international, and local SEO with Semrush tools",100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study handpicked materials to dive deeper', 'Quiz': 'Test what you’ve learned'}","If you’re running your business across different countries, or just want to promote your products and services to local customers, or achieve better ranking in mobile search, you will definitely want to take this course to learn how Semrush can help you out. You’ll be guided through all the necessary tools in a series of free video lessons.","This course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge, we designed it together with the creators of Semrush, who know it better than anyone in the world!","['Get certified by Semrush', 'Try to pass the Mobile, International, and Local SEO test and earn your personalized certificate.', ""If you already have sufficient knowledge of the tools, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, proof of your Semrush mastery."", 'Learn more']"
35,"Management, Reporting, and Collaboration Course","This course will teach you how to manage your projects, facilitate your team processes, and organize reporting with Semrush tools. After completing the course, you will have sufficient knowledge to take and pass the accompanying test and carry on studying the Semrush SEO toolkit.",3 lessons,Exclusive video lessons with passionate digital marketer Ashley Ward,1 hour,Learn how to easily manage projects and build up teamwork with Semrush tools,100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study handpicked materials to dive deeper', 'Quiz': 'Test what you’ve learned'}","If you want to create more cohesion in your team of marketing professionals, ensure that your campaigns are being realized in a timely manner and keep abreast of their performance, or create stunning reports for stakeholders by using Semrush, this course is perfect for you. You’ll be guided through all the necessary tools in a series of free video lessons.","This course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge, we designed it together with the creators of Semrush, who know it better than anyone in the world!","['Get certified by Semrush', 'Try to pass the Management, Reporting, and Collaboration test and earn your personalized certificate.', ""If you already have sufficient knowledge of the tools, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, proof of your Semrush mastery."", 'Learn more']"
36,Rank Tracking Course,"This course will teach you how to evaluate your ongoing SEO campaign by tracking your website’s online visibility, and analyzing Google’s SERPs with the help of Semrush tools. After completing the course, you will have sufficient knowledge to take and pass the accompanying test and carry on studying the Semrush SEO toolkit.",2 lessons,Exclusive video lessons with passionate digital marketer Ashley Ward,30 minutes,Learn how to track your website’s rankings with Semrush tools,100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study handpicked materials to dive deeper', 'Quiz': 'Test what you’ve learned'}","If you want to learn how to evaluate your website performance from keyword ranking and visibility standpoints, saving time and effort with the Semrush suite, take this course. You’ll be guided through all the necessary tools in a series of free video lessons.","This course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge, we designed it together with the creators of Semrush, who know it better than anyone in the world!","['Get certified by Semrush', ""Try to pass the Rank Tracking test and earn your personalized certificate.</p><p>If you already have sufficient knowledge of the tools, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, proof of your Semrush mastery."", 'Learn more']"
37,Link Building Course,Get expert tips and advice on using Semrush to really maximise your link building efforts.,5 lessons,Exclusive video lessons with passionate digital marketer Ashley Ward,1 hour,"Learn how to build links, both internal and external, with Semrush tools",100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","If you’re new to link building, or have been doing it for a while and want to save yourself time and effort by using Semrush, you will definitely want to take this course. You’ll be guided through all the necessary tools in a series of free video lessons.","This course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and up-to-date knowledge, we designed it together with the creators of Semrush, who know it better than anyone in the world!","['Get certified by Semrush', ""After completing the course, you'll have all the necessary knowledge to take and pass the PPC Fundamentals Exam."", ""If you already have reasonable PPC skills, you can bypass the educational part and test yourself right away by taking the exam. Upon passing it, you'll earn a certificate issued by Semrush, which will serve as proof of your knowledge of PPC essentials."", 'Learn more']"
