,title,time_in_hours,no_of_videos,Exercises,no_of_Learners,XP,course-description,what-you-will-learn-lesson-1,what-you-will-learn-lesson-2,what-you-will-learn-lesson-3,what-you-will-learn-lesson-4,collaborators,prerequisities,what-you-will-learn-lesson-5,what-you-will-learn-lesson-6
152,Loan Amortization in Spreadsheets,4,13,56,"3,014",4800,"A loan amortization schedule sounds like something that's only used by bankers and financial traders, right? Wrong! In this course, we'll be looking at the key financial formulas in Google Sheets that you can use to investigate your own loans, like student loans, car loans, and mortgages. We'll build up a dashboard in Google Sheets which uses visualizations and conditional formulas to produce presentation-ready spreadsheets which will impress any finance manager!","Introduction to loan amortization,Your ""friend,"" the loan shark,Paying off your student loan in 1 year,Guess the right payment,Calculation of monthly payments,Required fields for the PMT() function.,Inputs for an annual loan,Inputs for a monthly loan.,Entering the PMT() formula,Calculation of interest and principal payments,Using the IPMT() function ,Using the PPMT() function ,Amortization table with two periods","Working with conditions and case statements,Working with IF() functions,SWITCH with baseball,School grades with IFS(),Adjusting dates for different time periods,IF() formulas for monthly or bi-weekly periods,IF() formulas to calculate semi-monthly periods,IFS() formula for all payment types,Loan visualizations,Adding data to the chart.,Adding the x-axis,Adding the title,Hiding unused cells,Using FILTER to create a new table without NAs,Fixing visualizations after using FILTER,Hiding unused values using IFS","Your first amortization schedule,Entering loan terms,Finishing the amortization schedule,Adjusting for annual periods,Cumulative financial functions,Cumulative functions and opening balance.,Working with a single cumulative function,Adding cumulative functions to the schedule,Measuring balance over time,Counting forward periods with EOMONTH(),Counting same month and backward with EOMONTH(),Adding dates and LTV to the schedule","Fees and Annual Percentage Rate,Practice with APR,Your friend, the payday loan shark.,Calculating APR on the schedule,Lump sum payments,Manually calculating interest and principal.,Modifying closing balances for a lump sum,Hiding unused rows review,Fixing the payment function,Floating Rates,Negative amortization scenario,Impact of rising interest rates,Longer-term loans and negative amortization,Maximum annual rate,Max interest rate with APR","Chester Ismay,Marianna Lamnina","Finance Fundamentals,Financial Modeling in Spreadsheets",,
153,Financial Analytics in Spreadsheets,4,15,56,"17,162",4650,"Monitoring the evolution of traded assets is key in finance. In this course, you will learn how to build a graphical dashboard with spreadsheets to track the performance of financial securities. You will focus on historical prices and dividends of the hypothetical stock ABC. You will learn how to visualize its prices, how to measure essential reward and risk indicators, and see if your investment in ABC outperformed a benchmark index. At the end of the course, you should be able to use spreadsheets to build great monitoring tools used by traders and financial analysts in their day-to-day business life!","Introduction and first metrics,What is a stock?,Count prices and dividends
,Find minimum and maximum prices
,Find minimum and maximum dividends
,Identifying dates with unusual prices,Find price at a given date ,Find dates with minimum and maximum prices,Visualizing the price evolution,Plot a line chart of historical prices,Customize the chart,Highlight minimum and maximum prices","Histogram of stock returns,Define bins,Find the frequency of each bin,Convert frequencies into relative frequencies,Build the histogram,The Gaussian model,Plot the standard Gaussian model,Change the location of the Gaussian model,Change the dispersion of the Gaussian model,Calibrating the Gaussian model,Calibrate the Gaussian model on historical returns,Overlay the Gaussian model to the empirical histogram ,Compute the 5% value-at-risk from the Gaussian model,Limitations of the Gaussian model,What are the limitations of the Gaussian model?,Compute skewness and kurtosis of the historical returns","From prices to returns,What are dollar and percentage returns?,Compute historical returns,Count positive and negative returns,Reward metrics,Compute the average return,Compute the effective rate of return using PRODUCT() and COUNT(),Compute the effective rate of return using ARRAYFORMULA(),Risk metrics,Compute the volatility,Compute the volatility with STDEV(),Compute the historical value-at-risk
,Risk-adjusted metrics,Compute the Sharpe ratio,Compute the semideviation
,Compute the Sortino ratio
","Benchmarking,How to choose a good benchmark?,Compare the final wealth,Plot the cumulative wealth,Performance metrics comparison,Compare the Sharpe ratios,Compare the drawdowns,Compare the maximum drawdowns,Correlation analysis,Compute the correlation coefficient ,Compute the rolling-window correlation,Creating the dashboard","Chester Ismay,Sara Billen","Finance Fundamentals,Stock ABC,Data Visualization in Spreadsheets",,
154,Analyzing Marketing Campaigns with pandas,4,14,53,"14,601",4500,"One of the biggest challenges when studying data science technical skills is understanding how those skills and concepts translate into real jobs. Whether you're looking to level up in your marketing job by incorporating Python and pandas or you're trying to get a handle on what kinds of work a data scientist in a marketing organization might do, this course is a great match for you. We'll practice translating common business questions into measurable outcomes, including ""How did this campaign perform?"", ""Which channel is referring the most subscribers?"", ""Why is a particular channel underperforming?"" and more using a fake marketing dataset based on the data of an online subscription business. This course will build on Python and pandas fundamentals, such as merging/slicing datasets, groupby(), correcting data types and visualizing results using matplotlib.","Introduction to pandas for marketing,Importing the dataset,Examining the data,Data types and data merging,Updating the data type of a column,Adding new columns,Date columns,Initial exploratory analysis,Daily marketing reach by channel,Visualizing daily marketing reach","Building functions to automate analysis,Building a conversion function,Test and visualize conversion function,Plotting function,Putting it all together,Identifying inconsistencies,House ads conversion rate,Analyzing House ads conversion rate,House ads conversion by language,Creating a DataFrame for house ads,Confirming house ads error,Resolving inconsistencies,Setting up conversion indexes,Analyzing user preferences,Creating a DataFrame based on indexes,Assessing bug impact","Introduction to common marketing metrics,Calculating conversion rate,Calculating retention rate,Customer segmentation,Comparing language conversion rate (I),Comparing language conversion rate (II),Aggregating by date,Plotting campaign results (I),Visualize conversion rate by language,Creating daily conversion rate DataFrame,Setting up our data to visualize daily conversion,Visualize daily conversion rate,Plotting campaign results (II),Marketing channels across age groups,Grouping and counting by multiple columns,Analyzing retention rates for the campaign","A/B testing for marketing,Determining key metrics,Test allocation,Comparing conversion rates,Calculating lift & significance testing,Creating a lift function,Evaluating statistical significance,A/B testing & segmentation,Building an A/B test segmenting function,Using your segmentation function,Wrap-up","Sumedh Panchadhar,Mona Khalil","Marketing Analytics,Marketing dataset 1,Marketing dataset 2,Data Manipulation with pandas",,
155,Applying SQL to Real-World Problems,4,13,47,"12,342",3550,"Now that you’ve learned the basic tools of SQL you are ready to synthesize them into practical, real-world skills. In this course, you will work with a database of a fictional movie rental company. The size and complexity of this database will allow you to experience the challenges of working with databases firsthand. Throughout this course, you will use SQL to answer business-driven questions. You will learn new skills that will empower you to find the tables you need. You will then learn how to store and manage this data in tables and views that you create. Best of all you will also learn how to write code that not only clearly conveys your intent but is also legible.","Essential SQL,Review the essentials,Practice the essentials,Transforming your results,Transform numeric & strings,Extract what you need,Working with aggregate functions,Aggregating finances,Aggregating strings,Which tables?","Store your data,Storing new data,Using existing data,TABLE vs VIEW,Update your data,What should you modify?,Update the price of rentals,Updated based on other tables,Delete your data,Deleting all table data,Delete selected records,A family friendly video store","Find the right table,LIMITing your search,Which table to use?,What tables are in your database?,Determine the monthly income,Join the correct tables,What columns are in your database?,A VIEW of all your columns,Testing out your new VIEW,The average length of films by category,Complex joins,Build the entity relationship diagram,Which films are most frequently rented?","Convey your intent,How to convey our intent,Clarify the intent of this query,Fix this query - intent,Write readable code,How to make code easier to read,Make this query easier to read - Part I,Make this query easier to read - Part II,Avoid common mistakes,What are the don'ts of writing SQL code?,Apply best practices to your code,Recap","Chester Ismay,Adrián Soto","SQL for Business Analysts,DVD Rental Database,Intermediate SQL",,
156,AI Fundamentals,4,14,49,"18,888",3350,"So what is all this AI fuss about? Machine Learning, Deep Learning, Predictive Analytics -- what is the reality behind the hype? How do machines actually learn and what are their limits? How can we use Machine Learning to recognize written digits, predict customer churn and find structure in Elon Musk's tweets? All this -- and much more -- is the topic of this course, which will introduce you to the world of AI in a gentle, but firm and very practical manner.","Do androids dream of electric sheep?,General vs Narrow AI,Why Python?,The elephant in the room,All models are wrong but some are useful,Parameters & hyper-parameters,Too much of a good thing,Three flavors of Machine Learning,Guess the flavor I,Guess the flavor II,Simple digit recognition","Dimensionality reduction,Principal Component Analysis,Visitors from outer space,Clustering,Lucky number K,Elbow reading,DBSCAN,Anomaly detection,How unsupervised really?,The go-to algorithm,The odd one out,Elon's tweets,Selecting the right model,Fruits of knowledge,Predicting customer churn","Supervised Learning Fundamentals,Regression or Classification I,When regression means classification,Training and evaluating classification models,SPAMtastic!,Hold-out,Training and evaluating regression models,Tailor made,Going non-linear","Deep Learning & Beyond,The nucleus,How to train your dragon,Your first neural net,Deep Learning,Layers,Guess the architecture,Rolling in the deep,Convolutional Neural Networks,The Beauty of the Beast,One-liner modeling,One-line evaluation,Deep Learning for Digit Recognition,Congratulations!","Hadrien Lacroix,Hillary Green-Lerman","Data Skills for Business,Customer Churn,MNIST",,
157,Cluster Analysis in Python,4,14,46,"38,265",3650,"You have probably come across Google News, which automatically groups similar news articles under a topic. Have you ever wondered what process runs in the background to arrive at these groups? In this course, you will be introduced to unsupervised learning through clustering using the SciPy library in Python. This course covers pre-processing of data and application of hierarchical and k-means clustering. Through the course, you will explore player statistics from a popular football video game, FIFA 18. After completing the course, you will be able to quickly apply various clustering algorithms on data, visualize the clusters formed and analyze results.","Unsupervised learning: basics,Unsupervised learning in real world,Pokémon sightings,Basics of cluster analysis,Pokémon sightings: hierarchical clustering,Pokémon sightings: k-means clustering,Data preparation for cluster analysis,Normalize basic list data,Visualize normalized data,Normalization of small numbers,FIFA 18: Normalize data","Basics of k-means clustering,K-means clustering: first exercise,Runtime of k-means clustering,How many clusters?,Elbow method on distinct clusters,Elbow method on uniform data,Limitations of k-means clustering,Impact of seeds on distinct clusters,Uniform clustering patterns,FIFA 18: defenders revisited","Basics of hierarchical clustering,Hierarchical clustering: ward method,Hierarchical clustering: single method,Hierarchical clustering: complete method,Visualize clusters,Visualize clusters with matplotlib,Visualize clusters with seaborn,How many clusters?,Create a dendrogram,How many clusters in comic con data?,Limitations of hierarchical clustering,Timing run of hierarchical clustering,FIFA 18: exploring defenders","Dominant colors in images,Extract RGB values from image,How many dominant colors?,Display dominant colors,Document clustering,TF-IDF of movie plots,Top terms in movie clusters,Clustering with multiple features,Clustering with many features,Basic checks on clusters,FIFA 18: what makes a complete player?,Farewell!","Sara Billen,Hillary Green-Lerman","Data Scientist,Machine Learning Scientist,FIFA sample,FIFA,Movies,Intermediate Python",,
158,Improving Your Data Visualizations in Python,4,15,54,"10,907",4650,"Great data visualization is the cornerstone of impactful data science. Visualization helps you to both find insight in your data and share those insights with your audience. Everyone learns how to make a basic scatter plot or bar chart on their journey to becoming a data scientist, but the true potential of data visualization is realized when you take a step back and think about what, why, and how you are visualizing your data. In this course you will learn how to construct compelling and attractive visualizations that help you communicate the results of your analyses efficiently and effectively. We will cover comparing data, the ins and outs of color, showing uncertainty, and how to build the right visualization for your given audience through the investigation of a datasets on air pollution around the US and farmer's markets. We will finish the course by examining open-access farmers market data to build a polished and impactful visual report.","Highlighting data,Hardcoding a highlight,Programmatically creating a highlight,Comparing groups,Comparing with two KDEs,Improving your KDEs,Beeswarms,Annotations,A basic text annotation,Arrow annotations,Combining annotations and color","Point estimate intervals,Basic confidence intervals,Annotating confidence intervals,Confidence bands,Making a confidence band,Separating a lot of bands,Cleaning up bands for overlaps,Beyond 95%,90, 95, and 99% intervals,90 and 95% bands,Using band thickness instead of coloring,Visualizing the bootstrap,The bootstrap histogram,Bootstrapped regressions,Lots of bootstraps with beeswarms","Color in visualizations,Getting rid of unnecessary color,Fixing Seaborn's bar charts,Continuous color palettes,Making a custom continuous palette,Customizing a diverging palette heatmap,Adjusting your palette according to context,Categorical palettes,Using a custom categorical palette,Dealing with too many categories,Coloring ordinal categories,Choosing the right variable to encode with color","First explorations,Looking at the farmers market data,Scatter matrix of numeric columns,Digging in with basic transforms,Exploring the patterns,Is latitude related to months open?,What state is the most market-friendly?,Popularity of goods sold by state,Making your visualizations efficient,Stacking to find trends,Using a plot as a legend,Tweaking your plots,Cleaning up the background,Remixing a plot,Enhancing legibility,Congrats!","Becca Robins,Hillary Green-Lerman","Data Visualization,State populations dataset,U.S. farmer's markets dataset,Pollution dataset,Python Data Science Toolbox (Part 2),Introduction to Data Visualization with Matplotlib,Introduction to Data Visualization with Seaborn",,
159,Python for Spreadsheet Users,4,13,48,"20,615",3900,"Are you looking for a better solution than the one you’ve built in a spreadsheet? If so, then Python for Spreadsheet Users is a great introduction to the Python language, and will put you on the right path towards automating repetitive work, diving deeper into your data, and widening the scope of what you are capable of accomplishing. Throughout the course, we’ll draw parallels to common spreadsheet functions and techniques, so you’ll always have a familiar reference point as you dive head first into Python.","Welcome to Python!,Importing packages,Loading data,Looking at data with print(),DataFrames and their methods,The .head() method,.info() and .describe() methods,The .sort_values() method,Filtering rows and creating columns,Filtering,Creating columns,Putting it all together","Working with multiple sheets,pd.ExcelFile() function,.sheet_names attribute,.parse() method,Preparing to put tables together,.str.lower() and .str.title(),.str.strip(),Selecting and .drop(),Merging: The VLOOKUP of Python,Merging for ticket prices,Merging for theater locations,Putting it all together again","Grouping and summing: the beginner's pivot table,Pure summary with .sum(),.groupby() and .sum() together,Summarizing and sorting values,Grouping by multiple columns,Which is a list?,Movie genre performance by location,What do seniors like?,More useful summary tools,Best-selling movie by location,Which movie averages the most sales","How visualization works in Python,How to build a graph in Python,Top grossing films,Best genres,Building up the barplot,Put a title on it,Label your axes!,Make it pretty with sns,The power of hue,Interpreting hue,Genre by market,Genre by ticket type,Wrapping up","Amy Peterson,Hillary Green-Lerman","Movie Theater Sales dataset,Pivot Tables in Spreadsheets",,
160,Writing Efficient Code with pandas,4,14,45,"11,940",3500,"The ability to efficiently work with big datasets and extract valuable information is an indispensable tool for every aspiring data scientist. When working with a small amount of data, we often don’t realize how slow code execution can be. This course will build on your knowledge of Python and the pandas library and introduce you to efficient built-in pandas functions to perform tasks faster. Pandas’ built-in functions allow you to tackle the simplest tasks, like targeting specific entries and features from the data, to the most complex tasks, like applying functions on groups of entries, much faster than Python's usual methods. By the end of this course, you will be able to apply a function to data based on a feature value, iterate through big datasets rapidly, and manipulate data belonging to different groups efficiently. You will apply these methods on a variety of real-world datasets, such as poker hands or restaurant tips.","The need for efficient coding I,What does time.time() measure?,Measuring time I,Measuring time II,Locate rows: .iloc[] and .loc[],Row selection: loc[] vs iloc[],Column selection: .iloc[] vs by name,Select random rows,Random row selection,Random column selection","Looping using the .iterrows() function,Create a generator for a pandas DataFrame,The iterrows() function for looping,Looping using the .apply() function,.apply() function in every cell,.apply() for rows iteration,Vectorization over pandas series,Why vectorization in pandas is so fast?,pandas vectorization in action,Vectorization with NumPy arrays using .values(),Best method of vectorization,Vectorization methods for looping a DataFrame","Replace scalar values using .replace(),Replacing scalar values I,Replace scalar values II,Replace values using lists,Replace multiple values I,Replace multiple values II,Replace values using dictionaries,Replace single values I,Replace single values II,Replace multiple values III,Most efficient method for scalar replacement","Data transformation using .groupby().transform,The min-max normalization using .transform(),Transforming values to probabilities,Validation of normalization,When to use transform()?,Missing value imputation using transform(),Identifying missing values,Missing value imputation,Data filtration using the filter() function,When to use filtration?,Data filtration,Congratulations!","Hadrien Lacroix,Hillary Green-Lerman","Python Programming,Poker,Popular Baby Names,Restaurant,Data Manipulation with pandas",,
161,Foundations of Probability in Python,5,16,61,"7,026",5050,"Probability is the study of regularities that emerge in the outcomes of random experiments. In this course, you'll learn about fundamental probability concepts like random variables (starting with the classic coin flip example) and how to calculate mean and variance, probability distributions, and conditional probability. We'll also explore two very important results in probability: the law of large numbers and the central limit theorem. Since probability is at the core of data science and machine learning, these concepts will help you understand and apply models more robustly. Chances are everywhere, and the study of probability will change the way you see the world. Let’s get random!","Let’s flip a coin in Python,Flipping coins,Using binom to flip even more coins,Probability mass and distribution functions,Predicting the probability of defects,Predicting employment status,Predicting burglary conviction rate,Expected value, mean, and variance,Calculating the expected value and variance,Calculating the sample mean,Checking the result,Calculating the mean and variance of a sample","Normal distributions,Range of values,Plotting normal distributions,Within three standard deviations,Normal probabilities,Restaurant spending example,Smartphone battery example,Adults' heights example,Poisson distributions,ATM example,Highway accidents example,Generating and plotting Poisson distributions,Geometric distributions,Catching salmon example,Free throws example,Generating and plotting geometric distributions","Calculating probabilities of two events,Any overlap?,Measuring a sample,Joint probabilities,Deck of cards,Conditional probabilities,Delayed flights,Contingency table,More cards,Total probability law,Formula 1 engines,Voters,Bayes' rule,Conditioning,Factories and parts,Swine flu blood test","From sample mean to population mean,Generating a sample,Calculating the sample mean,Plotting the sample mean,Adding random variables,Sample means,Sample means follow a normal distribution,Adding dice rolls,Linear regression,Fitting a model,Predicting test scores,Studying residuals,Logistic regression,Fitting a logistic model,Predicting if students will pass,Passing two tests,Wrapping up","Adrián Soto,Hillary Green-Lerman",Introduction to Statistics in Python,,
162,Reporting in SQL,4,15,54,"20,203",4450,"Become a master at building complex reports! In this course, you will apply all the SQL concepts and functions you have learned in previous courses to build out your very own dashboard. By navigating through an Olympics database, you will become an expert data explorer and learn how to understand novel database quickly and effectively. Since data is never perfect, you will gain valuable strategies to deal with real-world issues commonly found with SQL, including how to remove data duplication and how to turn messy data into clean, organized reports. Lastly, you’ll conquer complex calculations using window functions and layered calculations, all within the same report. This is a perfect class for anyone who will be commonly pulling data from databases and is a great complement for those who use R or Python for data science.","Case study,Identifying the base report,Building the base report,Athletes vs events by sport,The Olympics dataset,Planning queries with an E:R diagram,Age of oldest athlete by region,Number of events in each sport,Exploring our data,Exploring summer_games,Validating our query,Report 1: Most decorated summer athletes","Converting data types,Identifying data types,Interpreting error messages,Using date functions on strings,Cleaning strings,String functions,Replacing and removing substrings,Fixing incorrect groupings,Dealing with nulls,Filtering out nulls,Fixing calculations with coalesce,Report duplication,Identifying duplication,Fixing duplication through a JOIN,Report 3: Countries with high medal rates","Planning the query,Planning the SELECT statement,Planning the filter,Combining tables,JOIN then UNION query,UNION then JOIN query,Creating custom fields,CASE statement refresher,BMI bucket by sport,Troubleshooting CASE statements,Filtering and finishing touches,Filtering with a JOIN,Filtering with a subquery,Report 2: Top athletes in nobel-prized countries","Building complex calculations,Testing out window functions,Average total country medals by region,Most decorated athlete per region,Comparing groups,Volume vs efficiency metrics,Percent of gdp per country,GDP per capita performance index,Comparing dates,Month-over-month comparison,Week-over-week comparison,Report 4: Tallest athletes and % GDP by region,Course summary","Sara Billen,Mona Khalil","SQL for Business Analysts,Course Database Entity Relationship Diagram,Course Database Creation Code,Athletes,Countries,Country Stats,Summer Games,Winter Games,Intermediate SQL",,
163,PostgreSQL Summary Stats and Window Functions,4,12,44,"32,192",3550,"Have you ever wondered how data professionals use SQL to solve real-world business problems, like generating rankings, calculating moving averages and running totals, deduplicating data, or performing time intelligence? If you already know how to select, filter, order, join and group data with SQL, this course is your next step. By the end, you will be writing queries like a pro! You will learn how to create queries for analytics and data engineering with window functions, the SQL secret weapon! Using flights data, you will discover how simple it is to use window functions, and how flexible and efficient they are.","Introduction,Window functions vs GROUP BY,Numbering rows,Numbering Olympic games in ascending order,ORDER BY,Numbering Olympic games in descending order,Numbering Olympic athletes by medals earned,Reigning weightlifting champions,PARTITION BY,Reigning champions by gender,Reigning champions by gender and event,Row numbers with partitioning","Aggregate window functions,Running totals of athlete medals,Maximum country medals by year,Minimum country medals by year,Frames,Number of rows in a frame,Moving maximum of Scandinavian athletes' medals,Moving maximum of Chinese athletes' medals,Moving averages and totals,Moving average's frame,Moving average of Russian medals,Moving total of countries' medals","Fetching,Future gold medalists,First athlete by name,Last country by name,Ranking,Ranking athletes by medals earned,Ranking athletes from multiple countries,DENSE_RANK's output,Paging,Paging events,Top, middle, and bottom thirds","Pivoting,A basic pivot,Pivoting with ranking,ROLLUP and CUBE,Country-level subtotals,All group-level subtotals,A survey of useful functions,Cleaning up results,Summarizing results","Sumedh Panchadhar,Mona Khalil,Marianna Lamnina","Data Analyst,SQL Fundamentals,Summer olympics dataset,Intermediate SQL",,
164,Introduction to Statistics in Spreadsheets,4,15,51,"23,978",4350,"Statistics is the science that deals with the collection, analysis, and interpretation of data. Having a solid foundation in statistics will help you effectively work with your data to test hypotheses and uncover insights that can help solve your problems. This course is designed to give you that foundation in statistics. Using Spreadsheets functions, you'll dive into averages, distributions, hypothesis testing, and conclude the course by applying your newfound knowledge in a case study. Along the way, you'll work with a variety of datasets ranging from eBay auctions to train ridership to historical presidential approval ratings. Enjoy!","Welcome to the course!,Don't be average!,Presidential approval rating averages,Difference between median and mean,Modal madness,How far from average?,Train variation,Calculating standard deviations,Playing quarters,Standardizing data,Comparing z-scores,Exploring eBay auctions","Central to Stats: Sampling!,Sampling in Spreadsheets,Does sampling size matter?,Central Limit Theorem in action,Hypothesis Testing,Comparing samples with a t-test,Paired t-test,Hypothesis Testing with the Z-test,Performing a Z-test,What changes in a two-tailed test?,Hypothesis Testing with the Chi-squared test,Performing a chi-squared test,Are bank loans getting worse?","Visualizing Distributions,""Normal"" views of money,Visualizing customer longevity,Visualizing customer donations,Is the data ""normally"" distributed?,Visualizing Correlations,Correlation between price and quantity sold,Correlation between seller rating and closing price,Adding a trend line,Bar charts,Bar chart of competitive counts,Visualizing categories","Dating Data!,Understanding the distribution of ages,What's the drinking age?,Profile login behavior,Visuals & Distributions,Visualizing logins,How old do users look?,Tipping the scale to positive correlation,Investigating age and volunteering,More complex relationships,Are gender and number of roommates independent?,Getting old and rich,Multiple relationships!,Congratulations!","Yashas Roy,Chester Ismay","Data Skills for Business,Intermediate Spreadsheets,Data Analysis in Spreadsheets",,
165,Feature Engineering for Machine Learning in Python,4,16,53,"19,385",4350,"Every day you read about the amazing breakthroughs in how the newest applications of machine learning are changing the world. Often this reporting glosses over the fact that a huge amount of data munging and feature engineering must be done before any of these fancy models can be used. In this course, you will learn how to do just that. You will work with Stack Overflow Developers survey, and historic US presidential inauguration addresses, to understand how best to preprocess and engineer features from categorical, continuous, and unstructured data. This course will give you hands-on experience on how to prepare any data for your own machine learning models.","Why generate features?,Getting to know your data,Selecting specific data types,Dealing with categorical features,One-hot encoding and dummy variables,Dealing with uncommon categories,Numeric variables,Binarizing columns,Binning values","Data distributions,What does your data look like? (I),What does your data look like? (II),When don't you have to transform your data?,Scaling and transformations,Normalization,Standardization,Log transformation,When can you use normalization?,Removing outliers,Percentage based outlier removal,Statistical outlier removal,Scaling and transforming new data,Train and testing transformations (I),Train and testing transformations (II)","Why do missing values exist?,How sparse is my data?,Finding the missing values,Dealing with missing values (I),Listwise deletion,Replacing missing values with constants,Dealing with missing values (II),Filling continuous missing values,Imputing values in predictive models,Dealing with other data issues,Dealing with stray characters (I),Dealing with stray characters (II),Method chaining","Encoding text,Cleaning up your text,High level text features,Word counts,Counting words (I),Counting words (II),Limiting your features,Text to DataFrame,Term frequency-inverse document frequency,Tf-idf,Inspecting Tf-idf values,Transforming unseen data,N-grams,Using longer n-grams,Finding the most common words,Wrap-up","Sumedh Panchadhar,Hillary Green-Lerman","Machine Learning Scientist,Stack Overflow Survey Responses (Modified),US Presidential Inauguration Addresses,Supervised Learning with scikit-learn",,
166,Introduction to Text Analysis in R,4,15,46,"16,583",3850,"From social media to product reviews, text is an increasingly important type of data across applications, including marketing analytics. In many instances, text is replacing other forms of unstructured data due to how inexpensive and current it is. However, to take advantage of everything that text has to offer, you need to know how to think about, clean, summarize, and model text. In this course, you will use the latest tidy tools to quickly and easily get started with text. You will learn how to wrangle and visualize text, perform sentiment analysis, and run and interpret topic models.","Text as data,Airline tweets data,Grouped summaries,Counting categorical data,Counting user types,Summarizing user types,Tokenizing and cleaning,Tokenizing and counting,Cleaning and counting","Sentiment dictionaries,Counting the NRC sentiments,Visualizing the NRC sentiments,Appending dictionaries,Counting sentiment,Visualizing sentiment,Improving sentiment analysis,Practicing reshaping data,Practicing with grouped summaries,Visualizing sentiment by complaint type","Plotting word counts,Visualizing complaints,Visualizing non-complaints,Improving word count plots,Adding custom stop words,Visualizing word counts using factors,Faceting word count plots,Counting by product and reordering,Visualizing word counts with facets,Plotting word clouds,Creating a word cloud,Adding a splash of color","Latent Dirichlet allocation,Topics as word probabilities,Summarizing topics,Visualizing topics,Document term matrices,Creating a DTM,Evaluating a DTM as a matrix,Running topic models,Fitting an LDA,Tidying LDA output,Comparing LDA output,Interpreting topics,Naming three topics,Naming four topics,Wrap-up","Sumedh Panchadhar,Chester Ismay","Marketing Analytics,Text Mining,Airline tweets,Roomba reviews,Introduction to the Tidyverse",,
167,Introduction to Data Visualization with Matplotlib,4,14,44,"109,480",3600,"Visualizing data in plots and figures exposes the underlying patterns in the data and provides insights. Good visualizations also help you communicate your data to others, and are useful to data analysts and other consumers of the data. In this course, you will learn how to use Matplotlib, a powerful Python data visualization library. Matplotlib provides the building blocks to create rich visualizations of many different kinds of datasets. You will learn how to create visualizations for different kinds of data and how to customize, automate, and share these visualizations.","Introduction to data visualization with Matplotlib,Using the matplotlib.pyplot interface,Adding data to an Axes object,Customizing your plots,Customizing data appearance,Customizing axis labels and adding titles,Small multiples,Creating a grid of subplots,Creating small multiples with plt.subplots,Small multiples with shared y axis","Quantitative comparisons: bar-charts,Bar chart,Stacked bar chart,Quantitative comparisons: histograms,Creating histograms,""Step"" histogram,Statistical plotting,Adding error-bars to a bar chart,Adding error-bars to a plot,Creating boxplots,Quantitative comparisons: scatter plots,Simple scatter plot,Encoding time by color","Plotting time-series data,Read data with a time index,Plot time-series data,Using a time index to zoom in,Plotting time-series with different variables,Plotting two variables,Defining a function that plots time-series data,Using a plotting function,Annotating time-series data,Annotating a plot of time-series data,Plotting time-series: putting it all together","Preparing your figures to share with others,Selecting a style for printing,Switching between styles,Saving your visualizations,Saving a file several times,Save a figure with different sizes,Automating figures from data,Unique values of a column,Automate your visualization,Where to go next","Chester Ismay,Amy Peterson","Data Scientist,Data Visualization,Seattle weather,Austin weather,Climate data,Medals by country,Medalist weights,Introduction to Python",,
168,Data-Driven Decision Making in SQL,4,15,54,"15,502",4550,"In this course, you will learn how to use SQL to support decision making. It is based on a case study about an online movie rental company with a database about customer information, movie ratings, background information on actors and more. You will learn to apply SQL queries to study for example customer preferences, customer engagement, and sales development. This course also covers SQL extensions for online analytical processing (OLAP), which makes it easier to obtain key insights from multidimensional aggregated data.","Introduction to data driven decision making,Exploring the database,Exploring the table renting,Filtering and ordering,Working with dates,Selecting movies,Select from renting,Aggregations - summarizing data,Summarizing customer information,Ratings of movie 25,Examining annual rentals","Nested query,Often rented movies,Frequent customers,Movies with rating above average,Correlated nested queries,Analyzing customer behavior,Customers who gave low ratings,Movies and ratings with correlated queries,Queries with EXISTS,Customers with at least one rating,Actors in comedies,Queries with UNION and INTERSECT,Young actors not coming from the USA,Dramas with high ratings","Grouping movies,First account for each country.,Average movie ratings,Average rating per customer,Joining movie ratings with customer data,Join renting and customers,Aggregating revenue, rentals and active customers,Movies and actors,Money spent per customer with sub-queries,Income from movies,Age of actors from the USA,Identify favorite actors of customer groups,Identify favorite movies for a group of customers,Identify favorite actors for Spain,KPIs per country","OLAP: CUBE operator,Groups of customers,Categories of movies,Analyzing average ratings,ROLLUP,Number of customers,Analyzing preferences of genres across countries,GROUPING SETS,Queries with GROUPING SETS,Exploring nationality and gender of actors,Exploring rating by country and gender,Bringing it all together,Customer preference for genres,Customer preference for actors","Hadrien Lacroix,Mona Khalil","Data Analyst,SQL for Business Analysts,MovieNow,Intermediate SQL",,
